time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/std,train/clip_range
3257,79.46347535079856,12,28.67,7,1597440,0.0001,18.836341857910156,0.8684355616569519,0.009668477391824127,49.590092468261716,0.1890625,1830,32.096920013427734,0.014137184,0.07999999076128006,0.2
3270,79.94690754887093,13,28.83,8,1599488,0.0001,17.814985275268555,0.8849763870239258,0.015490355715155602,46.54529495239258,0.24140625,1831,32.096920013427734,0.018043969,0.07999999076128006,0.2
3283,79.84487636022413,14,28.8,8,1601536,0.0001,23.9680233001709,0.8914150595664978,0.011908250550429026,40.683417002360024,0.20703125,1832,32.096920013427734,0.017287161,0.07999999076128006,0.2
3297,80.4109531683187,15,28.99,9,1603584,0.0001,26.87531089782715,0.8987730145454407,0.01221776008605957,44.271310806274414,0.248046875,1833,32.096920013427734,0.019132394,0.07999999076128006,0.2
3308,80.57920620801251,16,29.05,9,1605632,0.0001,14.299848556518555,0.9101568460464478,0.0020889006555080414,37.954263051350914,0.19401041666666666,1834,32.096920013427734,0.014074154,0.07999999076128006,0.2
3318,81.0125938772514,17,29.2,10,1607680,0.0001,15.778043746948242,0.9195058941841125,0.006050211726687849,30.71528959274292,0.2353515625,1835,32.096920013427734,0.024203297,0.07999999076128006,0.2
3327,82.05486231435951,18,29.56,11,1609728,0.0001,13.807379722595215,0.9285361766815186,0.012440467563768228,30.605136235555012,0.26171875,1836,32.096920013427734,0.020075308,0.07999999076128006,0.2
3334,82.88550764704249,19,29.84,11,1611776,0.0001,12.348572731018066,0.9415556788444519,0.01451429600516955,28.63071123758952,0.2565104166666667,1837,32.096920013427734,0.022935057,0.07999999076128006,0.2
3342,83.1908414156039,20,29.94,12,1613824,0.0001,12.844598770141602,0.9441887736320496,0.007940053939819336,24.35361671447754,0.201171875,1838,32.096920013427734,0.015579454,0.07999999076128006,0.2
3348,83.49954072595918,21,30.04,12,1615872,0.0001,13.621768951416016,0.9474124908447266,0.010143522173166275,26.342616081237793,0.224609375,1839,32.096920013427734,0.017680384,0.07999999076128006,0.2
