rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/std
132.83,350.20830237948854,1050624,4530,1,0,,,,,,,,,,,
130.75,345.32366254457577,1052672,4385,2,0,0.017970771839221317,105.65935516357422,0.22526041666666666,189.4287567138672,0.020846913,0.0001,0.2,1537,32.096920013427734,0.6817815899848938,0.07999999076128006
135.17,362.7662822697322,1054720,4433,3,1,0.018789966590702534,111.17022705078125,0.2529296875,225.69817352294922,0.022309456,0.0001,0.2,1538,32.096920013427734,0.9593518972396851,0.07999999076128006
131.07,351.2395635955675,1056768,4477,4,1,0.03794115176424384,127.08594512939453,0.2421875,241.7650489807129,0.028476331,0.0001,0.2,1539,32.096920013427734,0.8207085728645325,0.07999999076128006
130.04,350.7649332576412,1058816,4504,5,2,0.006485067152728637,129.81983947753906,0.19010416666666666,236.5551300048828,0.018669331,0.0001,0.2,1540,32.096920013427734,0.9465720653533936,0.07999999076128006
125.71,338.5733231236695,1060864,4525,6,2,0.01214560866355896,98.01416778564453,0.24479166666666666,198.10492960611978,0.020540176,0.0001,0.2,1541,32.096920013427734,0.9329007863998413,0.07999999076128006
125.58,338.71208050244024,1062912,4508,7,3,0.019878633320331573,79.92501831054688,0.240234375,173.30807876586914,0.02156877,0.0001,0.2,1542,32.096920013427734,0.9609270095825195,0.07999999076128006
127.25,344.6140043483153,1064960,4527,8,3,0.010965108095357815,97.43450164794922,0.19270833333333334,203.13152567545572,0.016178785,0.0001,0.2,1543,32.096920013427734,0.9440900683403015,0.07999999076128006
124.33,334.3305328554203,1067008,4537,9,4,0.02031060556570689,97.85330200195312,0.22005208333333334,174.69434611002603,0.019049497,0.0001,0.2,1544,32.096920013427734,0.9449745416641235,0.07999999076128006
126.2,340.6868032512949,1069056,4548,10,4,0.020661817863583565,85.84896087646484,0.2890625,180.78902180989584,0.02839048,0.0001,0.2,1545,32.096920013427734,0.958941638469696,0.07999999076128006
125.34,337.0468568584018,1071104,4560,11,4,0.012158838100731373,117.3526611328125,0.236328125,222.48590087890625,0.018357065,0.0001,0.2,1546,32.096920013427734,0.921661913394928,0.07999999076128006
