rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/std,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates
322.920498519063,0,4486,1,526336,126.19,,,,,,,,,,,
314.4129312015476,0,4165,2,528384,123.44,187.45271949768068,0.0003,0.2,0.8220417499542236,32.096920013427734,39.249000549316406,0.07999999076128006,0.79345703125,5.368994,0.08083868967369198,1285
265.6773546574623,1,3885,3,530432,106.0,22.099598717689513,0.0003,0.2,0.9949283599853516,32.096920013427734,8.182572364807129,0.07999999076128006,0.967578125,306.75903,0.3035377798601985,1290
206.3221574581453,2,3886,4,532480,83.8,765.8172737121582,0.0003,0.2,0.793569803237915,32.096920013427734,114.21997833251953,0.07999999076128006,0.65546875,7.833716,0.07690042229369283,1295
156.0692736019579,2,3876,5,534528,65.26,366.8630317687988,0.0003,0.2,0.8801852464675903,32.096920013427734,84.9973373413086,0.07999999076128006,0.9576171875,79.02353,0.32907006874447686,1300
154.41948353679808,3,3877,6,536576,65.58,163.55902099609375,0.0003,0.2,0.9394358396530151,32.096920013427734,32.34564971923828,0.07999999076128006,0.866796875,79.30852,0.2505888831336051,1305
177.67968021673667,3,3802,7,538624,74.58,467.953088760376,0.0003,0.2,0.7790445685386658,32.096920013427734,80.96154022216797,0.07999999076128006,0.6232421875,10.072571,0.11967475542332977,1310
180.61090552468846,4,3779,8,540672,75.99,163.72108688354493,0.0003,0.2,0.8920020461082458,32.096920013427734,35.51023483276367,0.07999999076128006,0.95576171875,166.22906,0.31262850331841036,1315
180.90449858038573,4,3783,9,542720,74.39,63.15377798080444,0.0003,0.2,0.9378595352172852,32.096920013427734,15.415430068969727,0.07999999076128006,0.82822265625,92.87996,0.3715297212358564,1320
166.263646847902,5,3786,10,544768,66.5,60.069810676574704,0.0003,0.2,0.9229380488395691,32.096920013427734,15.111507415771484,0.07999999076128006,0.872265625,88.0633,0.23439603911247103,1325
158.52514600804142,5,3776,11,546816,63.69,20.804753029346465,0.0003,0.2,0.964621901512146,32.096920013427734,3.9831128120422363,0.07999999076128006,0.94501953125,266.97125,0.2604133354267105,1330
153.3266863771968,6,3789,12,548864,62.44,163.96689853668212,0.0003,0.2,0.85027676820755,32.096920013427734,34.53879165649414,0.07999999076128006,0.68828125,46.232155,0.14632511644158513,1335
153.1290314135556,7,3802,13,550912,63.42,128.3695623397827,0.0003,0.2,0.9060254693031311,32.096920013427734,29.179058074951172,0.07999999076128006,0.92578125,5.8920517,0.2001902720425278,1340
147.36995005421883,7,3813,14,552960,62.31,61.879694080352785,0.0003,0.2,0.9679296016693115,32.096920013427734,17.25003433227539,0.07999999076128006,0.863671875,18.913052,0.2046157183125615,1345
147.26541371885253,8,3823,15,555008,63.42,39.04071707725525,0.0003,0.2,0.9848178625106812,32.096920013427734,14.0919189453125,0.07999999076128006,0.85205078125,13.654226,0.1985300848726183,1350
152.1075745139558,8,3822,16,557056,66.47,16.816986632347106,0.0003,0.2,0.9899055361747742,32.096920013427734,5.623834133148193,0.07999999076128006,0.9248046875,175.69693,0.3521445403341204,1355
170.0937253506602,9,3827,17,559104,73.62,62.505159091949466,0.0003,0.2,0.9592540264129639,32.096920013427734,21.189632415771484,0.07999999076128006,0.77314453125,48.84473,0.2074287890922278,1360
182.76782622908277,9,3826,18,561152,78.45,44.32842683792114,0.0003,0.2,0.9484776854515076,32.096920013427734,14.042256355285645,0.07999999076128006,0.9646484375,69.948616,0.3110926838591695,1365
202.8678038113465,10,3824,19,563200,84.66,56.04877681732178,0.0003,0.2,0.9646037220954895,32.096920013427734,21.160419464111328,0.07999999076128006,0.7642578125,40.22938,0.17897697107400745,1370
219.98400539252196,10,3826,20,565248,89.82,54.568389129638675,0.0003,0.2,0.9740703105926514,32.096920013427734,22.11640739440918,0.07999999076128006,0.89931640625,42.191284,0.24970418312586845,1375
217.8925636960517,11,3827,21,567296,87.67,50.67458176612854,0.0003,0.2,0.9706743955612183,32.096920013427734,21.670930862426758,0.07999999076128006,0.93076171875,63.659576,0.29967069390695544,1380
207.98790931151666,11,3825,22,569344,82.99,100.1500144958496,0.0003,0.2,0.9243249297142029,32.096920013427734,25.34671401977539,0.07999999076128006,0.67294921875,0.68793595,0.0393518908880651,1385
