time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/loss
23,50,84.47,626688,4382,192.74894796536373,0.9199756383895874,32.096920013427734,0.07999999076128006,0.03167787962593138,0.0003,471.8641662597656,0.2,0.330078125,1329,0.070112795,198.84420776367188
23,51,83.69,628736,4387,191.67187549963907,0.9349066615104675,32.096920013427734,0.07999999076128006,0.01563931116834283,0.0003,372.439697265625,0.2,0.298828125,1330,0.045064643,198.0369873046875
24,52,83.22,630784,4390,191.17276904773905,0.9348359704017639,32.096920013427734,0.07999999076128006,0.038100865902379155,0.0003,370.3470764160156,0.2,0.298828125,1331,0.048915602,174.58592224121094
24,53,83.73,632832,4395,193.14977983774688,0.9215257167816162,32.096920013427734,0.07999999076128006,0.027333764359354973,0.0003,444.9553985595703,0.2,0.283203125,1332,0.030443199,230.91006469726562
25,54,84.16,634880,4398,194.45186510461198,0.9243606925010681,32.096920013427734,0.07999999076128006,0.01493117306381464,0.0003,382.25732421875,0.2,0.275390625,1333,0.030438736,172.89634704589844
25,55,84.23,636928,4401,195.76703380983622,0.9300058484077454,32.096920013427734,0.07999999076128006,0.019932648167014122,0.0003,333.4253692626953,0.2,0.27734375,1334,0.034687657,160.55751037597656
26,56,84.89,638976,4404,197.96077326399285,0.9176670908927917,32.096920013427734,0.07999999076128006,0.01658998243510723,0.0003,395.779296875,0.2,0.275390625,1335,0.03173911,182.2337646484375
26,57,85.45,641024,4401,200.39142771309383,0.8923080563545227,32.096920013427734,0.07999999076128006,0.023375288117676973,0.0003,447.83094787597656,0.2,0.283203125,1336,0.04817126,215.67095947265625
26,58,85.49,643072,4405,200.90601044954892,0.9102234840393066,32.096920013427734,0.07999999076128006,0.031064036302268505,0.0003,418.2207946777344,0.2,0.30859375,1337,0.053030252,227.94981384277344
27,59,86.47,645120,4410,204.0877236786064,0.8615605235099792,32.096920013427734,0.07999999076128006,0.0439496785402298,0.0003,532.7869873046875,0.2,0.3125,1338,0.064519435,263.6485290527344
27,60,86.75,647168,4414,204.29435708608295,0.9209243059158325,32.096920013427734,0.07999999076128006,0.04902052879333496,0.0003,346.36572265625,0.2,0.32421875,1339,0.06463194,149.37428283691406
28,61,90.26,649216,4417,211.38354519060226,0.9019650220870972,32.096920013427734,0.07999999076128006,0.04579444043338299,0.0003,350.51808166503906,0.2,0.31640625,1340,0.059300467,186.48387145996094
28,62,95.56,651264,4421,225.36847403202594,0.7901438474655151,32.096920013427734,0.07999999076128006,0.027973590651527047,0.0003,715.0609741210938,0.2,0.32421875,1341,0.042421296,349.59014892578125
29,63,97.26,653312,4424,229.87364233296333,0.8702126145362854,32.096920013427734,0.07999999076128006,0.047754837200045586,0.0003,439.94073486328125,0.2,0.3046875,1342,0.051115755,222.8657989501953
29,64,101.47,655360,4428,240.30117084688493,0.843775749206543,32.096920013427734,0.07999999076128006,0.027815050445497036,0.0003,361.0840759277344,0.2,0.302734375,1343,0.043272737,176.34022521972656
30,65,106.46,657408,4431,255.98684389682643,0.876152753829956,32.096920013427734,0.07999999076128006,0.0321615906432271,0.0003,380.1493682861328,0.2,0.2734375,1344,0.030897513,177.98712158203125
30,66,106.93,659456,4434,258.0843971344773,0.910064160823822,32.096920013427734,0.07999999076128006,0.06370191089808941,0.0003,262.5747528076172,0.2,0.357421875,1345,0.07928224,144.07342529296875
30,67,108.8,661504,4437,265.2887585536869,0.8442575931549072,32.096920013427734,0.07999999076128006,0.05158927757292986,0.0003,401.060546875,0.2,0.36328125,1346,0.0881859,165.0277862548828
31,68,109.31,663552,4441,267.1842981640166,0.8658738136291504,32.096920013427734,0.07999999076128006,0.06775199249386787,0.0003,424.19744873046875,0.2,0.349609375,1347,0.083827,198.3531036376953
31,69,112.72,665600,4444,277.11539377642936,0.7764744758605957,32.096920013427734,0.07999999076128006,0.048031373880803585,0.0003,560.5950622558594,0.2,0.345703125,1348,0.05959379,310.634033203125
32,70,113.55,667648,4447,280.5984612817277,0.863813042640686,32.096920013427734,0.07999999076128006,0.036511789076030254,0.0003,472.30291748046875,0.2,0.31640625,1349,0.055571243,240.7229766845703
32,71,118.07,669696,4451,292.7106059996702,0.8099682331085205,32.096920013427734,0.07999999076128006,0.030743252485990524,0.0003,482.62103271484375,0.2,0.314453125,1350,0.05708505,213.71778869628906
33,72,121.4,671744,4454,303.10290150571785,0.7995663285255432,32.096920013427734,0.07999999076128006,0.02067873300984502,0.0003,507.68824768066406,0.2,0.322265625,1351,0.04360151,254.90130615234375
33,73,123.27,673792,4458,308.3529450356264,0.7628653049468994,32.096920013427734,0.07999999076128006,0.023912666831165552,0.0003,613.7881469726562,0.2,0.26171875,1352,0.0306928,273.2764892578125
33,74,126.89,675840,4461,317.04429659634167,0.8052648901939392,32.096920013427734,0.07999999076128006,0.021704255137592554,0.0003,483.7677917480469,0.2,0.306640625,1353,0.040490393,236.1956787109375
34,75,126.12,677888,4461,315.2550297083951,0.8242045044898987,32.096920013427734,0.07999999076128006,0.058193534379824996,0.0003,374.52685546875,0.2,0.3125,1354,0.05211857,202.21910095214844
34,76,126.32,679936,4462,316.8555070824596,0.8134860396385193,32.096920013427734,0.07999999076128006,0.039102211594581604,0.0003,546.5972290039062,0.2,0.337890625,1355,0.057126552,264.1319274902344
35,77,123.54,681984,4461,307.37408987443473,0.817695140838623,32.096920013427734,0.07999999076128006,0.039719161577522755,0.0003,509.8354797363281,0.2,0.302734375,1356,0.04340779,207.73513793945312
35,78,119.72,684032,4464,294.3810693834767,0.8502527475357056,32.096920013427734,0.07999999076128006,0.04070346616208553,0.0003,418.09405517578125,0.2,0.3046875,1357,0.04792262,226.5056915283203
