rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/clip_fraction,train/n_updates,train/clip_range,train/value_loss,train/loss,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance
97.6,0,3438,2885632,241.85911586892257,1,,,,,,,,,,,
98.04,1,3366,2887680,243.34788797405324,2,0.24348958333333334,2480,0.2,58.21699651082357,30.991748809814453,0.0001,0.013476100750267506,32.096920013427734,0.07999999076128006,0.018179404,0.9530032277107239
97.07,1,3410,2889728,240.43864980074915,3,0.2838541666666667,2481,0.2,30.56763521830241,14.195547103881836,0.0001,0.025895026822884876,32.096920013427734,0.07999999076128006,0.03442254,0.9920609593391418
97.67,2,3429,2891776,241.8922109594883,4,0.23307291666666666,2482,0.2,63.9500986735026,34.58380889892578,0.0001,0.02354376980413993,32.096920013427734,0.07999999076128006,0.01708937,0.9736291766166687
97.24,2,3448,2893824,240.5286029800986,5,0.28125,2483,0.2,60.01171875,30.25922393798828,0.0001,0.004009743531545003,32.096920013427734,0.07999999076128006,0.023459995,0.9782975316047668
98.9,3,3459,2895872,245.18245607471155,6,0.17708333333333334,2484,0.2,50.874680836995445,25.163223266601562,0.0001,-0.003363488552471002,32.096920013427734,0.07999999076128006,0.012592443,0.9854454398155212
100.5,4,3468,2897920,249.61211689386724,7,0.2109375,2485,0.2,67.0572738647461,36.171871185302734,0.0001,0.01606710224101941,32.096920013427734,0.07999999076128006,0.016291194,0.9711940288543701
99.44,4,3475,2899968,246.83551031436934,8,0.2333984375,2486,0.2,49.78069496154785,23.67568016052246,0.0001,0.008609584998339415,32.096920013427734,0.07999999076128006,0.017209832,0.9810348749160767
99.99,5,3477,2902016,248.55801687908533,9,0.23939732142857142,2487,0.2,65.4202651977539,34.91689682006836,0.0001,0.009529866145125456,32.096920013427734,0.07999999076128006,0.017270293,0.9792018532752991
100.98,5,3480,2904064,251.28023089700397,10,0.203125,2488,0.2,75.14079856872559,42.17929458618164,0.0001,0.012797277886420488,32.096920013427734,0.07999999076128006,0.0151825,0.9734596014022827
100.01,6,3480,2906112,248.33416654038203,11,0.2608506944444444,2490,0.2,80.40077633327908,38.65679168701172,0.0001,0.013751908567630582,32.096920013427734,0.07999999076128006,0.035839766,0.9710187911987305
99.3,7,3483,2908160,246.54528069700092,12,0.216796875,2491,0.2,63.63246250152588,29.636577606201172,0.0001,0.009531289339065552,32.096920013427734,0.07999999076128006,0.016381476,0.978091299533844
99.15,7,3483,2910208,245.66759308660056,13,0.22981770833333334,2492,0.2,55.408400217692055,24.856111526489258,0.0001,0.012079223369558653,32.096920013427734,0.07999999076128006,0.017370543,0.9814983606338501
96.91,8,3484,2912256,239.42333104717028,14,0.255859375,2493,0.2,61.69129180908203,36.65938186645508,0.0001,0.01558828866109252,32.096920013427734,0.07999999076128006,0.019925794,0.9786961674690247
97.86,8,3486,2914304,241.98518026191073,15,0.21875,2494,0.2,83.01319885253906,49.78916931152344,0.0001,0.014953914796933532,32.096920013427734,0.07999999076128006,0.018044755,0.9656193256378174
95.96,9,3488,2916352,236.3553278160486,16,0.22395833333333334,2495,0.2,34.8901252746582,16.98081398010254,0.0001,0.008588767300049463,32.096920013427734,0.07999999076128006,0.01686587,0.9874640703201294
97.54,9,3488,2918400,240.6669164364761,17,0.21875,2496,0.2,58.36453342437744,30.340194702148438,0.0001,0.01679986296221614,32.096920013427734,0.07999999076128006,0.017142273,0.9778668284416199
98.81,10,3491,2920448,243.59438191111946,18,0.20390625,2497,0.2,58.404615783691405,27.700836181640625,0.0001,0.011081338115036487,32.096920013427734,0.07999999076128006,0.015593648,0.9754235744476318
99.29,11,3475,2922496,244.4587059023691,19,0.208984375,2498,0.2,33.26268005371094,16.529823303222656,0.0001,0.012548524886369705,32.096920013427734,0.07999999076128006,0.019097291,0.989981472492218
99.41,11,3476,2924544,243.8305007118927,20,0.21875,2499,0.2,63.12679100036621,31.452211380004883,0.0001,0.018779143458232284,32.096920013427734,0.07999999076128006,0.021910168,0.9764501452445984
98.97,12,3478,2926592,241.57305619697064,21,0.19140625,2500,0.2,39.84593200683594,17.127017974853516,0.0001,0.013801418244838715,32.096920013427734,0.07999999076128006,0.014865577,0.9872738718986511
98.34,12,3480,2928640,239.44849532687195,22,0.25390625,2501,0.2,81.24921417236328,26.903579711914062,0.0001,0.016490249428898096,32.096920013427734,0.07999999076128006,0.020050839,0.9763320088386536
98.76,13,3479,2930688,239.35625045249978,23,0.2171875,2502,0.2,43.52536392211914,18.66631317138672,0.0001,0.01108720749616623,32.096920013427734,0.07999999076128006,0.015706342,0.9799200296401978
98.45,14,3481,2932736,238.66921250739054,24,0.2470703125,2503,0.2,46.392595291137695,24.47890853881836,0.0001,0.019490113481879234,32.096920013427734,0.07999999076128006,0.021013744,0.9861592650413513
98.44,14,3480,2934784,238.65274632840976,25,0.24441964285714285,2504,0.2,112.20677621023995,37.920108795166016,0.0001,0.004532132962984698,32.096920013427734,0.07999999076128006,0.018232035,0.9546339511871338
99.7,15,3478,2936832,241.97699866964228,26,0.28267045454545453,2506,0.2,57.40934961492365,26.611494064331055,0.0001,0.004678836346349933,32.096920013427734,0.07999999076128006,0.03034282,0.975685179233551
99.67,15,3479,2938880,241.6101099764537,27,0.18619791666666666,2507,0.2,78.64499409993489,44.60193634033203,0.0001,0.011256156023591757,32.096920013427734,0.07999999076128006,0.014704652,0.9747625589370728
97.02,16,3479,2940928,234.97225442845257,28,0.2216796875,2508,0.2,86.01451301574707,56.225364685058594,0.0001,0.012816214933991432,32.096920013427734,0.07999999076128006,0.016142193,0.9610324501991272
