time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/std,train/clip_fraction,train/learning_rate,train/explained_variance
12,1880064,157.98972933350183,58.4,3668,22,0.011569615826010704,0.016800916,0.2,14.871390342712402,1969,32.096920013427734,29.53216667175293,0.07999999076128006,0.2328125,0.0001,0.9761759042739868
12,1882112,158.6742848173419,58.59,3671,23,0.01423709529141585,0.020928577,0.2,17.47308349609375,1970,32.096920013427734,32.56088129679362,0.07999999076128006,0.24869791666666666,0.0001,0.9743813872337341
13,1884160,160.3814745812597,59.09,3672,24,0.019729092717170715,0.01978938,0.2,14.064316749572754,1971,32.096920013427734,31.073486328125,0.07999999076128006,0.2275390625,0.0001,0.9738067388534546
13,1886208,162.07889421034716,59.6,3673,25,0.00955082243308425,0.015092208,0.2,14.54427719116211,1972,32.096920013427734,30.801732540130615,0.07999999076128006,0.1845703125,0.0001,0.9735444784164429
14,1888256,164.91180025337258,60.61,3674,26,0.009996073941389719,0.015554254,0.2,17.232135772705078,1973,32.096920013427734,31.338807423909504,0.07999999076128006,0.171875,0.0001,0.9737905263900757
15,1890304,167.3380660909742,61.52,3677,27,-0.0046755485236644745,0.016160978,0.2,16.84821319580078,1974,32.096920013427734,37.575679779052734,0.07999999076128006,0.171875,0.0001,0.973462700843811
15,1892352,168.78552628833756,62.18,3677,28,0.01785464957356453,0.02079064,0.2,20.116764068603516,1975,32.096920013427734,38.619178771972656,0.07999999076128006,0.220703125,0.0001,0.9718636870384216
16,1894400,170.01809806266155,62.76,3679,29,0.025776355527341366,0.023925096,0.2,31.57264518737793,1976,32.096920013427734,72.22411346435547,0.07999999076128006,0.236328125,0.0001,0.954571545124054
16,1896448,173.41643826386814,64.27,3682,30,0.022558549186214805,0.022987489,0.2,18.727642059326172,1977,32.096920013427734,35.0764045715332,0.07999999076128006,0.244140625,0.0001,0.973629355430603
17,1898496,174.29608696199287,64.85,3685,31,0.005867219064384699,0.017629951,0.2,21.39257049560547,1978,32.096920013427734,44.99473762512207,0.07999999076128006,0.22265625,0.0001,0.9722074270248413
