rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/std,train/clip_fraction,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/clip_range,train/loss,train/n_updates,train/policy_gradient_loss
89.1850287147403,41.8125,4525,1,2048,0,,,,,,,,,,,
89.27174809797725,41.78651685393258,3907,2,4096,1,0.36798661947250366,0.28642578125,-0.0027823448181152344,-12.154492282867432,0.0003,0.025793038,568.9881294250488,0.2,243.8201904296875,5,-0.04850057051517069
89.57667252029032,41.91,3998,3,6144,1,0.36783158779144287,0.22998046875,0.03513467311859131,-12.152564740180969,0.0003,0.027351113,389.8803405761719,0.2,176.06028747558594,10,-0.048469067364931104
88.36389676696666,41.3,4043,4,8192,2,0.36808693408966064,0.20185546875,0.0640912652015686,-12.151841402053833,0.0003,0.017812712,494.81471557617186,0.2,224.82696533203125,15,-0.04217863494995981
88.430458271616,41.44,4042,5,10240,2,0.368262380361557,0.25166015625,0.09472590684890747,-12.173584294319152,0.0003,0.026668228,347.3828948974609,0.2,161.5679931640625,20,-0.04992184693692252
88.50798426438115,41.46,4039,6,12288,3,0.36827003955841064,0.18125,0.2024793028831482,-12.180062508583068,0.0003,0.017842354,443.5259506225586,0.2,197.09718322753906,25,-0.043373232474550605
88.50833609214357,41.27,4055,7,14336,3,0.36816221475601196,0.23408203125,0.2784895896911621,-12.175315070152283,0.0003,0.026466435,331.93753204345705,0.2,153.35736083984375,30,-0.04919329091208056
89.0020962445668,41.4,4059,8,16384,4,0.3683852255344391,0.21572265625,0.43774133920669556,-12.178491139411927,0.0003,0.022173254,339.23541870117185,0.2,164.5883331298828,35,-0.046952723618596794
88.98624693948594,41.49,4069,9,18432,4,0.3684123456478119,0.26015625,0.5257785320281982,-12.190714526176453,0.0003,0.027973333,302.18460540771486,0.2,146.9157257080078,40,-0.05209242498967796
89.19187557383295,41.8,4064,10,20480,5,0.36897480487823486,0.25537109375,0.5923712253570557,-12.2099285364151,0.0003,0.028040437,254.9331958770752,0.2,127.58747100830078,45,-0.04992539626546204
89.21434646865806,41.76,4028,11,22528,5,0.369286447763443,0.25146484375,0.674445629119873,-12.24690511226654,0.0003,0.028147712,276.1444911956787,0.2,143.13262939453125,50,-0.05101585070369765
89.83501653639985,41.92,4029,12,24576,6,0.3695967197418213,0.31240234375,0.660535454750061,-12.274299168586731,0.0003,0.036835358,215.9511619567871,0.2,83.54132080078125,55,-0.05603125030174851
90.03894448157241,42.14,4030,13,26624,6,0.36965829133987427,0.24580078125,0.7196047902107239,-12.285484194755554,0.0003,0.026705492,241.48998069763184,0.2,109.06939697265625,60,-0.05157902613282204
89.41274426129212,41.98,4030,14,28672,7,0.3698294460773468,0.28349609375,0.738431453704834,-12.294666695594788,0.0003,0.03276246,171.89613723754883,0.2,79.45026397705078,65,-0.05547429097350687
89.40677792771332,42.04,4033,15,30720,7,0.36993759870529175,0.2708984375,0.7510567307472229,-12.308536863327026,0.0003,0.031227525,210.87076416015626,0.2,110.1935043334961,70,-0.054068919981364164
89.78086519267434,42.19,4038,16,32768,8,0.37013065814971924,0.32060546875,0.7901148796081543,-12.31553032398224,0.0003,0.040570505,145.08338928222656,0.2,58.934722900390625,75,-0.05537139452062547
89.43264677785822,41.95,4040,17,34816,8,0.3707205653190613,0.3169921875,0.784929633140564,-12.348707103729248,0.0003,0.037552714,178.3565528869629,0.2,86.31464385986328,80,-0.05619259136728942
90.15338604344562,42.07,4041,18,36864,9,0.37097683548927307,0.35576171875,0.8229337930679321,-12.38203706741333,0.0003,0.0455334,134.2734857559204,0.2,62.44043731689453,85,-0.058896127820480614
90.39827754482344,42.31,4040,19,38912,9,0.37132519483566284,0.32412109375,0.8122597932815552,-12.405385947227478,0.0003,0.041054863,151.18156929016112,0.2,61.202877044677734,90,-0.05892661472316831
90.37169271034215,42.46,4043,20,40960,10,0.3711030185222626,0.333984375,0.849080502986908,-12.408532238006591,0.0003,0.04335472,120.35102348327636,0.2,60.825340270996094,95,-0.05801897700875998
90.2054723509719,42.35,4043,21,43008,10,0.3708299994468689,0.32998046875,0.8444913029670715,-12.388251423835754,0.0003,0.04330514,122.8694679260254,0.2,58.61293029785156,100,-0.05707970552612096
90.3960784699838,42.4,4046,22,45056,11,0.37120574712753296,0.36943359375,0.8780216574668884,-12.391327500343323,0.0003,0.048143387,100.03373889923095,0.2,38.639556884765625,105,-0.060678610531613233
91.43678423502506,42.86,4045,23,47104,11,0.37143921852111816,0.35986328125,0.8722591996192932,-12.416232919692993,0.0003,0.044908617,103.40372676849366,0.2,49.608055114746094,110,-0.06148797643836588
91.7117754320836,42.97,4048,24,49152,12,0.37123483419418335,0.369921875,0.8992456793785095,-12.418823742866516,0.0003,0.05123097,82.83408002853393,0.2,37.25443649291992,115,-0.06118348436430097
91.79041113707777,42.93,4048,25,51200,12,0.3709307014942169,0.357421875,0.8967533111572266,-12.395970392227174,0.0003,0.045371886,86.1219268798828,0.2,38.113704681396484,120,-0.060086133528966454
91.9746957540985,42.91,4041,26,53248,13,0.3707561790943146,0.43369140625,0.9194221496582031,-12.374195885658263,0.0003,0.06598681,66.62633590698242,0.2,30.579017639160156,125,-0.06284352967049926
92.49751346650712,43.03,4043,27,55296,13,0.37086763978004456,0.40615234375,0.9150158166885376,-12.370281744003297,0.0003,0.06131428,73.19761295318604,0.2,31.706735610961914,130,-0.06200050114421174
