time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/std,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/learning_rate
526336,0,322.920498519063,1,126.19,4436,,,,,,,,,,,
528384,1,315.85704780546644,2,123.51,4054,0.3909260630607605,0.26279296875,-0.04752214554464444,0.027688043,0.8435303568840027,1285,0.2,348.5200965881348,-13.876835131645203,174.2058868408203,0.0003
530432,1,322.8579218092105,3,125.02,3852,0.39099767804145813,0.2609375,-0.047765989485196766,0.031293605,0.924697756767273,1290,0.2,250.85536155700683,-13.885508060455322,143.8766326904297,0.0003
532480,2,320.010093930383,4,123.93,3868,0.3911356031894684,0.255078125,-0.04459429767448455,0.03076357,0.9188515543937683,1295,0.2,223.5968780517578,-13.8935555934906,81.41104125976562,0.0003
534528,2,328.3124216572803,5,126.48,3886,0.3910829722881317,0.28017578125,-0.047289183270186184,0.03135776,0.9171814322471619,1300,0.2,267.82822647094724,-13.895548677444458,128.13377380371094,0.0003
536576,3,325.04653695596636,6,125.62,3903,0.39115408062934875,0.2623046875,-0.04601318403147161,0.029146265,0.926373302936554,1305,0.2,280.540735244751,-13.896456837654114,114.99190521240234,0.0003
538624,3,322.6435305005309,7,124.93,3912,0.39122626185417175,0.252734375,-0.044469642289914194,0.025400957,0.896528422832489,1310,0.2,335.13321952819825,-13.901234984397888,130.6284637451172,0.0003
540672,4,343.84843500942327,8,131.62,3911,0.3910483717918396,0.2685546875,-0.04388828435912728,0.028319843,0.8926304578781128,1315,0.2,328.4238788604736,-13.899336099624634,136.1145782470703,0.0003
542720,4,330.39043974106033,9,127.29,3917,0.391193151473999,0.255078125,-0.04621237092651427,0.02598691,0.8996131420135498,1320,0.2,314.82884674072267,-13.89589602947235,119.32845306396484,0.0003
544768,5,340.03604086416215,10,130.46,3907,0.3912481665611267,0.26796875,-0.04442409570328891,0.027468298,0.9345603585243225,1325,0.2,270.451021194458,-13.904114484786987,129.5099334716797,0.0003
546816,5,332.38075280920185,11,127.91,3908,0.3915152847766876,0.314453125,-0.046547521371394396,0.03459435,0.9267064332962036,1330,0.2,225.66976661682128,-13.91527280807495,108.20620727539062,0.0003
548864,6,337.67567705735763,12,129.39,3907,0.39178526401519775,0.23515625,-0.03940799558768049,0.025741108,0.9257984757423401,1335,0.2,263.27272453308103,-13.936148357391357,118.35907745361328,0.0003
550912,6,327.91338819699894,13,126.37,3907,0.39193448424339294,0.28046875,-0.045611546165309845,0.0313529,0.935707688331604,1340,0.2,228.815588760376,-13.953085923194886,126.71589660644531,0.0003
552960,7,326.54417162745426,14,126.07,3907,0.3920365571975708,0.29404296875,-0.04794163620099425,0.034204148,0.9452229738235474,1345,0.2,244.08285827636718,-13.961778378486633,101.14387512207031,0.0003
555008,7,333.38055702706174,15,128.3,3911,0.3921836018562317,0.3302734375,-0.04146707965992391,0.03827793,0.9403012990951538,1350,0.2,185.9229465484619,-13.969606757164001,67.58952331542969,0.0003
557056,8,331.284431502993,16,127.51,3910,0.3923656642436981,0.283203125,-0.04446418911684304,0.028973678,0.8772375583648682,1355,0.2,332.9849941253662,-13.980420923233032,176.3944854736328,0.0003
559104,8,330.82162577443756,17,127.18,3913,0.3923473358154297,0.2484375,-0.04209135209093802,0.029174237,0.8834769129753113,1360,0.2,343.6708553314209,-13.988834571838378,142.05287170410156,0.0003
561152,9,329.19386961064555,18,126.88,3912,0.3923196494579315,0.294140625,-0.0446050186175853,0.027967978,0.9375820755958557,1365,0.2,248.9746799468994,-13.985258269309998,111.08332061767578,0.0003
563200,9,333.5568052287028,19,128.17,3910,0.3923567533493042,0.2484375,-0.04447198399575427,0.026920093,0.9071983098983765,1370,0.2,331.9395095825195,-13.98675615787506,150.09896850585938,0.0003
565248,10,331.4250270054412,20,127.76,3907,0.39238637685775757,0.2685546875,-0.04464327731402591,0.029486569,0.9158903360366821,1375,0.2,314.5417407989502,-13.988230729103089,138.6566619873047,0.0003
567296,11,330.9103864580457,21,127.68,3903,0.39243000745773315,0.28330078125,-0.04407695685513317,0.033259135,0.9247463345527649,1380,0.2,323.0115634918213,-13.991297149658203,164.37620544433594,0.0003
569344,11,334.9157208011005,22,128.94,3895,0.39258140325546265,0.26767578125,-0.04190126943867654,0.03016564,0.8994138836860657,1385,0.2,320.1786682128906,-13.998328638076782,138.27752685546875,0.0003
571392,12,335.3533563642238,23,129.07,3892,0.3926507830619812,0.28818359375,-0.04634329441469163,0.032343145,0.9044597148895264,1390,0.2,300.9380222320557,-14.007376790046692,155.21730041503906,0.0003
573440,12,338.6084173015181,24,130.12,3892,0.39282462000846863,0.28447265625,-0.043831002851948145,0.036369205,0.9312582612037659,1395,0.2,199.39208984375,-14.01344268321991,71.8403091430664,0.0003
